name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,5479,,1237,2995,1,18.55,2,120,,connector,20,"LINESTRING (-111.9322531 33.4212367, -111.9320537 33.4212314)",auto;bike;walk,1,0,,
,5480,,2996,1618,1,24.41,2,120,,connector,20,"LINESTRING (-111.9279709 33.4293718, -111.9280140 33.4291546)",auto;bike;walk,1,0,,
,5481,,1618,2996,1,24.41,2,120,,connector,20,"LINESTRING (-111.9280140 33.4291546, -111.9279709 33.4293718)",auto;bike;walk,1,0,,
,5482,,2997,299,1,28.28,2,120,,connector,20,"LINESTRING (-111.9369682 33.4185853, -111.9367152 33.4187269)",auto;bike;walk,1,0,,
,5483,,299,2997,1,28.28,2,120,,connector,20,"LINESTRING (-111.9367152 33.4187269, -111.9369682 33.4185853)",auto;bike;walk,1,0,,
,5484,,2998,1597,1,14.67,2,120,,connector,20,"LINESTRING (-111.9371641 33.4186150, -111.9372553 33.4187230)",auto;bike;walk,1,0,,
,5485,,1597,2998,1,14.67,2,120,,connector,20,"LINESTRING (-111.9372553 33.4187230, -111.9371641 33.4186150)",auto;bike;walk,1,0,,
,5486,,2999,995,1,7.09,2,120,,connector,20,"LINESTRING (-111.9318060 33.4215453, -111.9317381 33.4215163)",auto;bike;walk,1,0,,
,5487,,995,2999,1,7.09,2,120,,connector,20,"LINESTRING (-111.9317381 33.4215163, -111.9318060 33.4215453)",auto;bike;walk,1,0,,
,5488,,3000,994,1,9.41,2,120,,connector,20,"LINESTRING (-111.9318044 33.4217974, -111.9317187 33.4218426)",auto;bike;walk,1,0,,
,5489,,994,3000,1,9.41,2,120,,connector,20,"LINESTRING (-111.9317187 33.4218426, -111.9318044 33.4217974)",auto;bike;walk,1,0,,
,5490,,3001,1647,1,7.92,2,120,,connector,20,"LINESTRING (-111.9325299 33.4214663, -111.9324743 33.4215204)",auto;bike;walk,1,0,,
,5491,,1647,3001,1,7.92,2,120,,connector,20,"LINESTRING (-111.9324743 33.4215204, -111.9325299 33.4214663)",auto;bike;walk,1,0,,
,5492,,3002,2269,1,14.85,2,120,,connector,20,"LINESTRING (-111.9391670 33.4252047, -111.9391803 33.4250712)",auto;bike;walk,1,0,,
