o_zone_id,o_zone_name,d_zone_id,d_zone_name,dist_km,geometry
0,A0,71,H1,1.4055109044819827,"LINESTRING (-111.94048216 33.431108615, -111.93818168 33.418615224999996)"
0,A0,72,H2,1.45334113173,"LINESTRING (-111.94048216 33.431108615, -111.93588120000001 33.418615225)"
0,A0,73,H3,1.5297384420138838,"LINESTRING (-111.94048216 33.431108615, -111.93358072000002 33.418615224999996)"
0,A0,74,H4,1.6306926936892339,"LINESTRING (-111.94048216 33.431108615, -111.93128024 33.418615224999996)"
0,A0,75,H5,1.751963851047843,"LINESTRING (-111.94048216 33.431108615, -111.92897976 33.418615224999996)"
0,A0,76,H6,1.889644333146085,"LINESTRING (-111.94048216 33.431108615, -111.92667927999999 33.418615224999996)"
0,A0,77,H7,2.040415096013536,"LINESTRING (-111.94048216 33.431108615, -111.92437879999999 33.418615225)"
0,A0,78,H8,2.201588412448693,"LINESTRING (-111.94048216 33.431108615, -111.92207832000001 33.418615224999996)"
0,A0,79,H9,2.3710438669310694,"LINESTRING (-111.94048216 33.431108615, -111.91977784000001 33.418615224999996)"
0,A0,80,I0,1.587658951343442,"LINESTRING (-111.94048216 33.431108615, -111.94048216 33.416830454999996)"
0,A0,81,I1,1.6019493561686862,"LINESTRING (-111.94048216 33.431108615, -111.93818168 33.416830454999996)"
0,A0,82,I2,1.6440754583086121,"LINESTRING (-111.94048216 33.431108615, -111.93588120000001 33.416830455)"
0,A0,83,I3,1.7119836610119907,"LINESTRING (-111.94048216 33.431108615, -111.93358072000002 33.416830454999996)"
0,A0,84,I4,1.802762762505357,"LINESTRING (-111.94048216 33.431108615, -111.93128024 33.416830454999996)"
0,A0,85,I5,1.9131598654764956,"LINESTRING (-111.94048216 33.431108615, -111.92897976 33.416830454999996)"
0,A0,86,I6,2.039992484058453,"LINESTRING (-111.94048216 33.431108615, -111.92667927999999 33.416830454999996)"
0,A0,87,I7,2.1803943654530067,"LINESTRING (-111.94048216 33.431108615, -111.92437879999999 33.416830455)"
0,A0,88,I8,2.3319158250594634,"LINESTRING (-111.94048216 33.431108615, -111.92207832000001 33.416830454999996)"
0,A0,89,I9,2.4925298021434723,"LINESTRING (-111.94048216 33.431108615, -111.91977784000001 33.416830454999996)"
0,A0,90,J0,1.7861163222774343,"LINESTRING (-111.94048216 33.431108615, -111.94048216 33.415045685)"
0,A0,91,J1,1.798831078256496,"LINESTRING (-111.94048216 33.431108615, -111.93818168 33.415045685)"
0,A0,92,J2,1.8364472288399338,"LINESTRING (-111.94048216 33.431108615, -111.93588120000001 33.415045685)"
0,A0,93,J3,1.8974843992762536,"LINESTRING (-111.94048216 33.431108615, -111.93358072000002 33.415045685)"
0,A0,94,J4,1.9797775455670437,"LINESTRING (-111.94048216 33.431108615, -111.93128024 33.415045685)"
0,A0,95,J5,2.0808062502160456,"LINESTRING (-111.94048216 33.431108615, -111.92897976 33.415045685)"
0,A0,96,J6,2.1979885431948154,"LINESTRING (-111.94048216 33.431108615, -111.92667927999999 33.415045685)"
